Titulo,Precio,Provincia,Lugar,Num. dormitorios,Num. banos,Area,Num. garages,Lugar_original,Tipo_Precio
ARRIENDO OFICINAS CON BODEGA SECTOR CALDERON,600,Pichincha,Quito,3.0,1.0,170.0,2.0,"Pichincha, Calderón, Quito, Ecuador",Medio
Hermosa casa en conjunto Cordillera,500,Pichincha,Martín Ochoa y av Simón Bolívar (occidental),3.0,3.0,180.0,2.0,"Pichincha, Martín Ochoa y av Simón Bolívar (occidental)",Medio
OFICINA DE ARRIENDO SECTOR LA MARISCAL,350,Pichincha,Quito,3.0,2.0,48.0,1.0,"Pichincha, La Mariscal, Quito, Ecuador",Económico
"Villa en el Sur de Guayaquil, Ciudadela Del IESS, atrás del Hospital Teodoro Maldonado.",400,Guayas,Guayaquil 090314,3.0,1.0,91.0,1.0,"Guayas, Av Olmedo, Guayaquil 090314, Ecuador",Medio
Se Arriendan Departamentos- Ciudadela Las Orquídeas,200,Guayas,Guayaquil,2.0,2.0,80.0,1.0,"Guayas, Avenida 1 49, Las Orquídeas Este, Guayaquil, Ecuador",Económico
Casa Independiente en Renta Sector Santa Ines Cumbayá,2600,Pichincha,Quito,3.0,3.0,300.0,4.0,"Pichincha, Santa Inés, Quito, Ecuador",Lujo
EN RENTA TERRENO COMERCIAL CERCA DE LA AV. ILALÓ,2500,Pichincha,Quito,3.0,2.0,100.0,1.0,"Pichincha, Av. Ilaló, Quito, Ecuador",Lujo
ESPACIOSO DEPARTAMENTO EN RENTA SECTOR BILOXI,280,Pichincha,Quito,3.0,2.0,117.0,1.0,"Pichincha, Biloxi, Quito, Ecuador",Económico
"RENTA DE SUITE SEMIAMOBLADA,CUMBAYA scala shopping",550,Pichincha,Quito,1.0,1.0,68.0,1.0,"Pichincha, Cumbayá, Quito, Ecuador",Medio
RENTO LOCAL COMERCIAL CON BODEGA EN CHILLOGALLO,300,Pichincha,Quito,3.0,2.0,37.0,1.0,"Pichincha, Chillogallo, Quito, Ecuador",Económico
EN RENTA CASA AMOBLADA EN EL CENTRO HISTORICO,1100,Pichincha,Quito,4.0,4.0,700.0,1.0,"Pichincha, Centro Histórico, Quito, Ecuador",Lujo
"Arriendo Suite Amoblada, La Mariscal",450,Pichincha,Quito,1.0,2.0,60.0,1.0,"Pichincha, La Mariscal, Quito, Ecuador",Medio
Arriendo departamento sector cultural La Floresta,425,Pichincha,Quito,2.0,2.0,90.0,1.0,"Pichincha, Avenida Ladrón de Guevara & Barcelona, Quito, Ecuador",Medio
EN RENTA LOCAL COMERCIAL AV. PRINCIPAL CAPELO,300,Pichincha,Quito,3.0,2.0,70.0,1.0,"Pichincha, Capelo, Quito, Ecuador",Económico
EN RENTA OFICINA SECTOR DEL COLIBRÍ-SANGOLQUÍ,180,Pichincha,Sangolquí,2.5,1.5,27.0,1.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Económico
EN RENTA OFICINA SECTOR DEL COLIBRÍ-SANGOLQUÍ,160,Pichincha,Sangolquí,2.5,1.5,24.0,1.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Económico
Suite sector universidad Católica,350,Pichincha,Quito,1.0,1.0,70.0,1.0,"Pichincha, Toledo & Madrid, Quito 170143, Ecuador",Económico
EXCELENTE UBICACION LOCAL COMERCIAL RENTA (118M2 – RUMIPAMBA),850,Pichincha,Quito,3.0,2.0,118.0,2.0,"Pichincha, Veracruz & Avenida de la República, Quito, Ecuador",Lujo
CASA COMERCIAL EXCELENTE UBICACION RENTA (200M2 – RUMIPAMBA),1500,Pichincha,Quito,5.0,2.0,200.0,3.0,"Pichincha, Veracruz & Avenida de la República, Quito, Ecuador",Lujo
BODEGA COMERCIAL UBICACION ESTRATEGICA DE RENTA (87M2 – RUMIPAMBA),450,Pichincha,Quito,1.0,1.0,87.0,1.0,"Pichincha, Veracruz & Avenida de la República, Quito, Ecuador",Medio
LOCAL EN RENTA A ESTRENAR DE 26M2 (EDF. AMELIA) MASTODONTES,200,Pichincha,Quito,1.0,1.0,26.0,1.0,"Pichincha, Mastodontes, Quito, Ecuador",Económico
"Arriendo Departamento 3 Dormitorios, La Mariscal",697,Pichincha,Quito,3.0,2.0,110.0,2.0,"Pichincha, La Mariscal, Quito, Ecuador",Medio
CONFORTABLE DEP. EXCELENTE UBICACION RENTA (75 MT2) RUMIPAMBA,300,Pichincha,Quito,2.0,2.0,75.0,1.0,"Pichincha, Antonio de Ulloa & Avenida Atahualpa, Quito, Ecuador",Económico
DEPARTAMENTO EN RENTA,450,Pichincha,Quito,2.0,2.0,95.0,1.0,"Pichincha, Nuñez de Vela & Juan José de Villalengua, Quito, Ecuador",Medio
Casa en Renta 2 pisos – Quito,350,Pichincha,Quito,3.0,2.0,90.0,1.0,"Pichincha, Rio Peripa, Quito, Ecuador",Económico
SE VENDEN EXCELENTES LOTES DE TERRENO COMERCIALES EN LA VIA EL CAMBIO CERCA AL PARQUE EN LA VIA PRINCIPAL,125,El Oro,Machala,10.0,10.0,5970.0,20.0,"El Oro, El Cambio, Machala, Ecuador",Medio
"Arriendo Suite Amoblada, Av. America, Rumipamba",340,Pichincha,Quito,1.0,1.0,50.0,1.0,"Pichincha, Av. América, Quito, Ecuador",Económico
SE VENDEN DOS LOTES DE TERRENOS COMERCIALES EN LA PARROQUIA EL CAMBIO FRENTE A LA VIA PRINCIPAL,125,El Oro,Machala,10.0,10.0,5970.0,10.0,"El Oro, Parroquia El Cambio, Machala",Medio
Renta de Suite Semi – Amoblada Sector La Carolina,550,Pichincha,Quito,1.0,1.0,70.0,1.0,"Pichincha, La Carolina, Quito, Ecuador",Medio
Renta de Consultorio Sector Eloy Alfaro y Alemania,500,Pichincha,Quito,3.0,1.0,45.0,1.0,"Pichincha, Fortune Plaza Business Center, Avenida Eloy Alfaro, Quito, Ecuador",Medio
Renta Oficina Sector La Carolina,750,Pichincha,Quito,3.0,1.0,80.0,1.0,"Pichincha, Avenida Republica del Salvador & Avenida de los Shyris, Quito, Ecuador",Lujo
Departamento en Venta/renta Sector Real Audiencia,517,Pichincha,Quito,2.0,2.0,96.0,1.0,"Pichincha, Real Audiencia, Quito, Ecuador",Medio
LINDA OFICINA EN LA AV. COLON Y AMAZONAS ARRIENDO,350,Pichincha,Quito,3.0,2.0,51.0,1.0,"Pichincha, Av. Cristóbal Colón & Avenida Río Amazonas, Quito, Ecuador",Económico
"Arriendo Departamento 3 Dormitorios + Estudio, La Mariscal",550,Pichincha,Quito,3.0,3.0,140.0,1.0,"Pichincha, La Mariscal, Quito, Ecuador",Medio
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ OFICINA 4,130,Pichincha,Sangolquí,2.5,1.5,28.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Económico
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ OFICINA 3,170,Pichincha,Sangolquí,2.5,1.5,52.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Económico
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ OFICINA 2,120,Pichincha,Sangolquí,2.5,1.5,23.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Económico
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ OFICINA 1,140,Pichincha,Sangolquí,2.5,1.5,30.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Económico
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ,150,Pichincha,Sangolquí,2.5,1.5,38.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Económico
TERRENO EN VENTA COLINAS DE BRICENO TERRENO 1,6500,Manabí,San Vicente,3.0,2.0,100.0,1.0,"Manabí, San Vicente, Ecuador",Medio
EN RENTA NAVE INDUSTRIAL – VÍA SANGOLQUÍ AMAGUAÑA,3000,Pichincha,Quito,3.0,2.0,600.0,1.0,"Pichincha, Amaguaña, Quito, Ecuador",Lujo
Local de Arriendo ubicado en el Colibri,600,Pichincha,Sangolquí,2.5,1.5,100.0,1.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Medio
SE RENTA DE SUITE EN LA PRIMAVERA,450,Pichincha,Quito,1.0,1.0,45.0,1.0,"Pichincha, La Primavera, Quito, Ecuador",Medio
LOCAL COMERCIAL DE RENTA GUAMANÍ SUR DE QUITO,3900,Pichincha,Quito,3.0,2.0,286.0,12.0,"Pichincha, Guamaní, Quito, Ecuador",Lujo
ARRIENDO AMPLIA CASA EN EL SECTOR DE CONOCOTO,940,Pichincha,Quito,3.0,4.0,840.0,1.0,"Pichincha, Conocoto, Quito, Ecuador",Lujo
RENTA AMPLIO DEPARTAMENTO SECTOR ELOY ALFARO,550,Pichincha,Quito,3.0,2.0,132.0,1.0,"Pichincha, Av. Eloy Alfaro, Quito, Ecuador",Medio
LOCAL DE ARRIENDO TORRES SANTA FE 6 DE DICIEMBRE,750,Pichincha,Quito,3.0,2.0,135.0,1.0,"Pichincha, Av. 6 de Diciembre, Quito, Ecuador",Lujo
"RENTO 2DO PISO DE EDIF 3 AMBIENTES, SANGOLQUI",1200,Pichincha,Sangolquí,2.5,1.5,395.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Lujo
Arriendo Departamento 3 dormitorios,350,Pichincha,Quito,3.0,2.0,120.0,1.0,"Pichincha, Asunción & Canada, Quito, Ecuador",Económico
CASA EN EL SECTOR DE LA ARMENIA LA RIBERA,1800,Pichincha,Quito,3.0,3.0,485.0,5.0,"Pichincha, La Armenia, Quito, Ecuador",Lujo
DEPARTAMENTO EN RENTA SEMI AMOBLADO QUITO TENNIS,700,Pichincha,Quito,2.0,1.0,85.0,1.0,"Pichincha, Quito Tenis, Quito, Ecuador",Medio
EN RENTA DEPARTAMENTO DE 3 HAB. CENTRO HISTORICO,280,Pichincha,Quito,3.0,1.0,95.0,1.0,"Pichincha, Centro Histórico, Quito, Ecuador",Económico
"ARRIENDO OFICINA, BODEGA, DEPARTAMENTO",3000,Pichincha,Quito,5.0,2.0,1500.0,1.0,"Pichincha, La Gasca, Quito, Ecuador",Lujo
"Quito Tenis, Exclusivo y bello depto de 90 M2",500,Pichincha,Quito,2.0,2.0,90.0,2.0,"Pichincha, Los Cabildos 112, Quito, Ecuador",Medio
Hermoso departamento de arriendo sector Ponceano alto 3 dormitorios $450 incluido Alicuota,450,Pichincha,Quito,3.0,2.0,120.0,1.0,"Pichincha, Ponceano Alto, Quito, Ecuador",Medio
Hermosa casa de arriendo de oportunidad sector La Pampa $600,600,Pichincha,Quito,3.0,3.0,140.0,2.0,"Pichincha, La Pampa, Quito, Ecuador",Medio
RENTO OFICINA CON O SIN MENAJE EL COLIBRI SANGOLQU,900,Pichincha,Sangolquí,2.5,1.5,98.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Lujo
RENTO OFICINAS EN PLAZA COLIBRI SANGOLQUI 88M2,690,Pichincha,Sangolquí,2.5,1.5,88.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Medio
RENTO OFICINAS EN PLAZA COLIBRI SANGOLQUI 86M2,675,Pichincha,Sangolquí,2.5,1.5,86.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Medio
Alquila la oficina para tu negocio en Yaruquí,450,Pichincha,Quito,3.0,2.0,180.0,1.0,"Pichincha, Yaruquí, Quito, Ecuador",Medio
RENTO OFICINAS EN PLAZA COLIBRI SECTOR SANGOLQUI,705,Pichincha,Sangolquí,2.5,1.5,90.0,1.0,"Pichincha, Sangolqui, Sangolquí, Ecuador",Medio
Departamento en Renta en el Sector de La Kennedy,280,Pichincha,Quito,2.0,1.0,70.0,1.0,"Pichincha, La Kennedy, Quito, Ecuador",Económico
Departamento de Arriendo en Ponceano,250,Pichincha,Calles Orianga N63-159 y de los Cedros.,2.0,1.0,65.0,1.0,"Pichincha, Calles Orianga N63-159 y de los Cedros.",Medio
RENTA EXCLUSIVO DEPARTAMENTO EDF. BÔ QUITO TENNIS,900,Pichincha,Quito,3.0,2.0,120.0,2.0,"Pichincha, Quito Tenis, Quito, Ecuador",Lujo
EN RENTA DEPARTAMENTO SECTOR 6 DE DICIEMBRE,550,Pichincha,Quito,3.0,2.0,90.0,1.0,"Pichincha, Av. 6 de Diciembre, Quito, Ecuador",Medio
RENTA CASA – 150m2 – EL CONDADO,450,Pichincha,Quito,3.0,2.0,150.0,2.0,"Pichincha, Rio Pucuno & Rio Bigal, Quito, Ecuador",Medio
RENTA SUITE – 55m2 – EL INCA,350,Pichincha,Quito,1.0,1.0,55.0,1.0,"Pichincha, Avenida de Las Palmeras & De los Madroños, Quito, Ecuador",Económico
RENTA DEPARTAMENTO – 120m2 -LA CAROLINA,690,Pichincha,Quito,3.0,1.0,120.0,1.0,"Pichincha, El Comercio & El Tiempo, Quito 170102, Ecuador",Medio
EN RENTA LOCAL DE 6M2 SECTOR COLIBRÍ LOCAL 5,190,Pichincha,Sangolquí,2.5,1.5,6.0,1.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Medio
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBRÍ LOCAL 4,420,Pichincha,Sangolquí,2.5,1.5,12.0,1.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Medio
RENTO LOCAL COMERCIAL PLANTA BAJA SECTOR COLIBRÍ LOCAL 3,1090,Pichincha,Sangolquí,2.5,1.5,162.0,1.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Lujo
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBRÍ LOCAL 2,665,Pichincha,Sangolquí,2.5,1.5,108.0,1.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Medio
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBRÍ LOCAL 1,655,Pichincha,Sangolquí,2.5,1.5,106.0,1.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Medio
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBRÍ,585,Pichincha,Sangolquí,2.5,1.5,95.0,35.0,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",Medio
"ARRIENDO DEPARTAMENTO CON EXCELENTE UBICACIÓN, 2 HABITACIONES, AMOBLADO O SIN AMOBLAR, $5OO",500,Pichincha,Quito,2.0,1.0,70.0,1.0,"Pichincha, Juan Montalvo N2-168 y, Quito 170157, Ecuador",Medio
ARRIENDO DEPARTAMENTO CON EXCELENTE UBICACIÓN.,650,Pichincha,Cumbaya,3.0,2.0,180.0,2.0,"Pichincha, Cumbaya, Ecuador",Medio
SE RENTA DEPARTAMENTO EN CONJUNTO EN CONOCOTO,370,Pichincha,Quito,3.0,2.0,100.0,1.0,"Pichincha, Conocoto, Quito, Ecuador",Económico
Departamento en Renta sector La Carolina,350,Pichincha,Quito,3.0,1.0,100.0,1.0,"Pichincha, La Carolina, Quito, Ecuador",Económico
DEPARTAMENTO EN RENTA SECTOR KENNEDY,415,Pichincha,Quito,3.0,2.0,103.0,2.0,"Pichincha, La Kennedy, Quito, Ecuador",Medio
En Arriendo bonita Oficina Sector La Pradera,700,Pichincha,Quito,3.0,2.0,94.0,1.0,"Pichincha, La Pradera, Quito, Ecuador",Medio
Habitación en Renta en el Sector la Carolina hab. 2,120,Pichincha,Quito,1.0,1.0,15.0,1.0,"Pichincha, La Carolina, Quito, Ecuador",Económico
RENTA OFICINA- 60m2 – CENTRO NORTE DE QUITO,470,Pichincha,Quito,3.0,1.0,60.0,1.0,"Pichincha, Batan Bajo, Quito, Ecuador",Medio
LOCAL DE ARRIENDO EN LAS CASAS QUITO,490,Pichincha,Quito,3.0,2.0,70.0,1.0,"Pichincha, Las Casas, Quito, Ecuador",Medio
DEPARTAMENTO EN ALQUILER SECTOR PINAR BAJO,550,Pichincha,Quito,3.0,3.0,150.0,1.0,"Pichincha, Teniente Homero Salas, Quito, Ecuador",Medio
Departamento en Renta sector La Carolina,350,Pichincha,Quito,3.0,1.0,90.0,1.0,"Pichincha, La Carolina, Quito, Ecuador",Económico
"SUITE AMOBLADA DE ARRIENDO , SECTOR LA CAROLINA",750,Pichincha,Quito,1.0,2.0,72.0,1.0,"Pichincha, Avenida de los Shyris & Avenida Naciones Unidas, Quito, Ecuador",Lujo
EN RENTA-LOCAL COMERCIAL SECTOR VERSALLES,200,Pichincha,Quito,3.0,2.0,30.0,1.0,"Pichincha, Versalles, Quito, Ecuador",Económico
"Arriendo Departamento 3 Dormitorios + Estudio, Mañosca",450,Pichincha,Quito,3.0,3.0,130.0,1.0,"Pichincha, Mañosca & Avenida Occidental, Quito, Ecuador",Medio
"Arriendo Departamento 2 Dormitorios, Mañosca",350,Pichincha,Quito,2.0,2.0,105.0,1.0,"Pichincha, Mañosca & Avenida Occidental, Quito, Ecuador",Económico
ARRIENDO OFICINA-142m2-REPÚBLICA DEL SALVADOR,900,Pichincha,Quito,3.0,2.0,142.0,2.0,"Pichincha, Av. República de El Salvador, Quito 170102, Ecuador",Lujo
Departamento sector República del Salvador,700,Pichincha,Finlandia N36-83 y Suecia,3.0,3.0,178.0,2.0,"Pichincha, Finlandia N36-83 y Suecia",Medio
ARRIENDO BODEGA Y OFICINAS. ESQUIENERO. (BELLAVISTA DE CALDERÓN),900,Pichincha,Quito,4.0,3.0,646.0,1.0,"Pichincha, Bellavista, Quito, Ecuador",Lujo
ARRIENDO OFICINA-142m2-REPÚBLICA DEL SALVADOR,900,Pichincha,Quito,3.0,2.0,142.0,2.0,"Pichincha, Av. República de El Salvador, Quito, Ecuador",Lujo
RENTA DEPARTAMENTO – 115m3 – SAN RAFAEL,383,Pichincha,Quito,2.0,3.0,115.0,1.0,"Pichincha, Av. Gral. Rumiñahui & Isla Floreana, Quito, Ecuador",Medio
RENTA MODERNA OFICINA – 96m2 – LA CORUÑA,480,Pichincha,Quito,3.0,2.0,96.0,1.0,"Pichincha, Av. La Coruña & San Ignacio, Quito, Ecuador",Medio
Hermoso departamento embajada Americana (colegio SEK) edificio inteligente $500,500,Pichincha,Quito,3.0,2.0,100.0,1.0,"Pichincha, Av. Avigiras, Av. Eloy Alfaro E12-170 y, Quito 170124, Ecuador",Medio
Hermoso departamento Edificio inteligente sector Ponceano Alto,400,Pichincha,Quito,2.0,2.0,100.0,1.0,"Pichincha, Ponceano Alto, Quito, Ecuador",Medio
Hermosa casa 3 platas sector embajada Américana,480,Pichincha,Quito,3.0,2.0,100.0,2.0,"Pichincha, Embajada americana, Quito, Ecuador",Medio
Alquiler de Departamento 2do Piso Alto en Garzota Norte de Guayaquil,400,Guayas,Guayaquil,2.0,1.0,68.0,1.0,"Guayas, Garzota II, Guayaquil, Ecuador",Económico
AMPLIA HERMOSA CASA ARRIENDO MITAD DEL MUNDO QUITO,350,Pichincha,Quito,5.0,4.0,170.0,1.0,"Pichincha, Padre Rumi E1-10, Quito, Ecuador",Económico
"ARIENDO DEPARTAMENTO DUPLEX CONJUNTO SOL DEL SUR, QUITUMBE",220,Pichincha,Quito,3.0,2.0,100.0,1.0,"Pichincha, Av. Cóndor Ñan, Quito, Ecuador",Económico
"Arriendo Consultorio Medico, La Mariscal",280,Pichincha,Quito,3.0,1.0,43.0,1.0,"Pichincha, La Mariscal, Quito, Ecuador",Económico
"Arriendo Departamento 2 Dormitorios, Casablanca",140,Esmeraldas,same,2.0,2.0,80.0,1.0,"Esmeraldas, Casablanca, same",Medio
Suite en renta sector Granda Centeno,450,Pichincha,Quito,1.0,1.0,68.0,1.0,"Pichincha, Granda Centeno, Quito, Ecuador",Medio
"Arriendo Departamento 4 Dormitorios + Estudio, Gonzalez Suarez",1000,Pichincha,Quito,4.0,6.0,285.0,2.0,"Pichincha, Gonzalez Suarez, Quito, Ecuador",Lujo
Hermoso departamento con Terraza propia de arriendo sector Ponceano Alto,400,Pichincha,Ponceano,3.0,2.0,140.0,1.0,"Pichincha, Ponceano, Ecuador",Económico
Linda Casa de oportunidad $380 sector Ponceano alto,380,Pichincha,Quito,3.0,2.0,100.0,1.0,"Pichincha, Ponceano Alto, Quito, Ecuador",Económico
"Hermosa Casa de Arriendo en Mirasierra, Valle de Los Chillos",500,Pichincha,Quito,3.0,3.0,140.0,2.0,"Pichincha, Mirasierra, Quito, Ecuador",Medio
Hermoso departamento de arriendo sector Ponceano Alto  2 dormitorios,380,Pichincha,Quito,2.0,2.0,80.0,1.0,"Pichincha, Ponceano Alto, Quito, Ecuador",Económico
Hermoso departamento de arriendo el bosque 2 dormitorios,500,Pichincha,Quito,2.0,2.0,100.0,1.0,"Pichincha, El Bosque, Quito, Ecuador",Medio
"Se arrienda departamento en Cumbaya, sector la Primavera.",1200,Pichincha,Quito,2.0,3.0,130.0,2.0,"Pichincha, Cumbayá, Quito, Ecuador",Lujo
AMPLIA Y HERMOSA CASA DE RENTA EN SAN RAFAEL,1400,Pichincha,San Rafael,4.0,2.0,473.0,1.0,"Pichincha, San Rafael, Ecuador",Lujo
"Arriendo Bodega, sector Ana Maria Bajo, Occidental",590,Pichincha,Quito,3.0,1.0,175.0,1.0,"Pichincha, Ana Maria Bajo, Quito, Ecuador",Medio
Se Renta Amplio Departamento en el Sector de la Unión Nacional Cerca del Centro Comercial el Bosque,690,Pichincha,Quito,4.0,4.0,230.0,1.0,"Pichincha, Marcos Jofre, Quito, Ecuador",Medio
Arriendo departamento en San Carlos frente al parque ingles,250,Pichincha,Quito,3.0,2.0,80.0,1.0,"Pichincha, Av. Mariscal Sucre, Quito, Ecuador",Económico
Arriendo Departamento Amoblado 2 Dorm. Centro Histórico,650,Pichincha,Quito,2.0,3.0,114.0,1.0,"Pichincha, Centro Histórico, Quito, Ecuador",Medio
"Arriendo Departamento Amoblado 3 Dorm. + Servicio, El Batán Bajo",600,Pichincha,Quito,3.0,3.0,115.0,1.0,"Pichincha, El Batán, Quito, Ecuador",Medio
"Vendo Terrenos de 200m2 Listos Para Construir en Cayo Beach, Avista Las Ballenas Jorobadas en Puerto Cayo, Jipijapa, Manabí, Ecuador; Ventas: +593987213710",3840,Manabí,Puerto Cayo,1.0,1.0,100.0,1.0,"Manabí, Puerto Cayo, Ecuador",Económico
"Vendo Terreno en Lotización Cayo Beach con: Agua, Luz, Calles Lastradas, Piscinas, Áreas Bbq, Playa de Puerto Cayo, Jipijapa, Manabí; Llámame: 0987213710",5400,Manabí,Puerto Cayo,1.0,1.0,100.0,1.0,"Manabí, Puerto Cayo, Ecuador",Medio
Alquiler dpto. totalmente amoblado,750,Guayas,Cdla. Cogra frente a Miraflores,2.0,1.0,120.0,1.0,"Guayas, Cdla. Cogra frente a Miraflores",Medio
"ARRIENDO DEPARTAMENTO, SECTOR QUICENTRO NORTE",610,Pichincha,Quito,3.0,2.0,110.0,2.0,"Pichincha, Quicentro Shopping, Avenida 6 de Diciembre, Quito, Ecuador",Medio
Se arrienda hermosa casa en la Viña,2500,Pichincha,Quito,4.0,5.0,400.0,4.0,"Pichincha, Cumbayá, Quito, Ecuador",Lujo
"Arriendo Suite Amoblada, Granda Centeno",280,Pichincha,Quito,1.0,1.0,50.0,1.0,"Pichincha, Granda Centeno, Quito, Ecuador",Económico
"TU LOTE A 3 CUADRAS DE LA PLAYA DE PUERTO CAYO, JIPIJAPA, MANABI Y CONSTRUYA SU CASA PARA VACACIONAR, LOTIZACIÓN CAYO BEACH CERCA DE LOS FRAILES Y PUERTO LOPEZ; CONTACTANOS: 0987213710",6000,Manabí,Puerto Cayo,1.0,1.0,100.0,1.0,"Manabí, Puerto Cayo Playa, Puerto Cayo, Ecuador",Lujo
VENTA DE SOLARES EN LOTIZACIÓN CAYO BEACH UBICADA EN PUERTO CAYO UNA DE LAS PLAYAS MAS HERMOSAS DE LA REGION COSTA DEL ECUADOR; WHATSAPP: 0987213710,6000,Manabí,Puerto Cayo,1.0,1.0,100.0,1.0,"Manabí, Puerto Cayo Playa, Puerto Cayo, Ecuador",Lujo
"TERRENOS EN PUERTO CAYO LUGAR IDEAL PARA EL DESCANSO Y VACACIONAR, TERRENOS DE 180M2 A $5.400 CON SERVICIOS BASICOS Y AREAS RECREATIVAS; WHATSAPP: +593987213710",5400,Manabí,Puerto Cayo,1.0,1.0,100.0,1.0,"Manabí, Puerto Cayo Playa, Puerto Cayo, Ecuador",Medio
"INVIERTE EN LA PLAYA EN PUERTO CAYO, JIPIJAPA, MANABI, LOTES DE 180M2 A 5.400 USD EN LOTIZACIÓN PRIVADA CAYO BEACH, ESCRITURAS INMEDIATAS; VENTAS: 0987213710",5400,Manabí,Puerto Cayo,1.0,1.0,100.0,1.0,"Manabí, Puerto Cayo Playa, Puerto Cayo, Ecuador",Medio
Bodega de Arriendo Centro Norte de Quito Sector Hospital Metropolitano,650,Pichincha,Quito,1.0,1.0,300.0,1.0,"Pichincha, Cuero y Caicedo, Quito, Ecuador",Medio
RENTO LOCAL COMERCIAL EN VERSALLES Y PORTOVIEJO,390,Pichincha,Quito,3.0,1.0,30.0,1.0,"Pichincha, Versalles, Quito, Ecuador",Medio
"EN RENTA, LOCAL COMERCIAL EN EL SEC. LOS TULIPANES",170,Pichincha,Quito,3.0,1.0,20.0,1.0,"Pichincha, Cotocollao, Quito, Ecuador",Económico
SE ARRIENDA LOCAL COMERCIAL EN LA PRIMAVERA,800,Pichincha,Quito,3.0,2.0,80.0,3.0,"Pichincha, La Primavera, Quito, Ecuador",Lujo
DEPARTAMENTO EN ARRIENDO 230 $ QUITO – NORTE DE QUITO – EL CONDADO – PRADOS DEL CONDADO,230,Pichincha,Quito,3.0,2.0,100.0,1.0,"Pichincha, El Condado, Quito, Ecuador",Económico
Departamento en Renta sector La Kennnedy,300,Pichincha,Quito,3.0,2.0,386.0,1.0,"Pichincha, La Kennedy, Quito, Ecuador",Económico
HERMOSOS DEPARTAMENTO EN RENTA SECTOR QUITO NORTE,350,Pichincha,Quito,3.0,1.0,80.0,1.0,"Pichincha, Cotocollao, Quito, Ecuador",Económico
EN RENTA OFICINA EJECUTIVA ESTADIO OLIMPICO,452,Pichincha,Quito,3.0,2.0,100.0,1.0,"Pichincha, Iñaquito, Quito, Ecuador",Medio
OFICINA EJECUTIVA EN RENTA ESTADIO OLIMPICO ATAHUA,218,Pichincha,Quito,3.0,2.0,40.0,1.0,"Pichincha, Iñaquito, Quito, Ecuador",Económico
OFICINA EJECUTIVA EN RENTA EN IÑAQUITO,260,Pichincha,Quito,3.0,2.0,21.0,1.0,"Pichincha, Iñaquito, Quito, Ecuador",Económico
SUITE CON PATIO PONCEANO ALTO / SUPERMAXI,350,Pichincha,Quito,1.0,2.0,67.0,1.0,"Pichincha, Calle 3 & Francisco Dalmau, Quito, Ecuador",Económico
SE RENTA LOCAL COMERCIAL -SECTOR CONOCOTO,1000,Pichincha,Quito,3.0,1.0,90.0,1.0,"Pichincha, Conocoto, Quito, Ecuador",Lujo
DEPARTAMENTO EN ARRIENDO 210 $ – NORTE DE QUITO – EL CONDADO – URBANIZACIÓN PRADOS DEL CONDADO,210,Pichincha,Quito,3.0,2.0,90.0,1.0,"Pichincha, El Condado, Quito, Ecuador",Económico
DEPARTAMENTO EN GUAYAQUIL EN CIUDADEL ALBORADA 3ERA ETAPA DETRAZ DE PLAZA MAYOR PARA PERSONA SOLA O PAREJA SIN MASCOTAS,250,Guayas,Guayaquil,1.0,1.0,100.0,1.0,"Guayas, Alborada III Etapa, Guayaquil, Ecuador",Económico
HERMOSO DEPARTAMENTO AMOBLADO EN RENTA / NORUEGA,900,Pichincha,Quito,3.0,2.0,106.0,1.0,"Pichincha, Noruega, Quito, Ecuador",Lujo
